Timestamp,Solar,Battery,Temp,Comm,Consumption,Status,Event
2026-06-01 17:50:02,10,5,29.8,91.1,51.9,CRÍTICO,[17:50:02] 🔥 ALERTA CRÍTICO: Bateria em nível crítico!
2026-06-01 17:50:02,10,5,29.8,91.1,51.9,CRÍTICO,[17:50:02] ☀️ ALERTA: Baixa eficiência solar
2026-06-01 17:50:02,10,5,29.8,91.1,38.9,CRÍTICO,[17:50:02] 🤖 DECISÃO: Modo Economia Ativado (Consumo reduzido)
2026-06-01 17:50:04,16.5,5,15,70,43.8,CRÍTICO,[17:50:04] 🔥 ALERTA CRÍTICO: Bateria em nível crítico!
2026-06-01 17:50:04,16.5,5,15,70,43.8,CRÍTICO,[17:50:04] ☀️ ALERTA: Baixa eficiência solar
2026-06-01 17:50:04,16.5,5,15,70,43.8,CRÍTICO,[17:50:04] 📡 ALERTA: Comunicação instável
2026-06-01 17:50:04,16.5,5,15,70,32.8,CRÍTICO,[17:50:04] 🤖 DECISÃO: Modo Economia Ativado (Consumo reduzido)
2026-06-01 17:50:05,16.5,5,15,70,200.0,CRÍTICO,[17:50:05] Dados atualizados manualmente.
2026-06-01 17:50:06,14.3,5,15.2,70,75,CRÍTICO,[17:50:06] 🔥 ALERTA CRÍTICO: Bateria em nível crítico!
2026-06-01 17:50:06,14.3,5,15.2,70,75,CRÍTICO,[17:50:06] ☀️ ALERTA: Baixa eficiência solar
2026-06-01 17:50:06,14.3,5,15.2,70,75,CRÍTICO,[17:50:06] 📡 ALERTA: Comunicação instável
2026-06-01 17:50:06,14.3,5,15.2,70,56.2,CRÍTICO,[17:50:06] 🤖 DECISÃO: Modo Economia Ativado (Consumo reduzido)
2026-06-01 17:50:08,14.6,5,15.5,70,51.7,CRÍTICO,[17:50:08] 🔥 ALERTA CRÍTICO: Bateria em nível crítico!
2026-06-01 17:50:08,14.6,5,15.5,70,51.7,CRÍTICO,[17:50:08] ☀️ ALERTA: Baixa eficiência solar
2026-06-01 17:50:08,14.6,5,15.5,70,51.7,CRÍTICO,[17:50:08] 📡 ALERTA: Comunicação instável
2026-06-01 17:50:08,14.6,5,15.5,70,38.8,CRÍTICO,[17:50:08] 🤖 DECISÃO: Modo Economia Ativado (Consumo reduzido)
2026-06-01 17:50:10,13.3,5,17.5,70,45.1,CRÍTICO,[17:50:10] 🔥 ALERTA CRÍTICO: Bateria em nível crítico!
2026-06-01 17:50:10,13.3,5,17.5,70,45.1,CRÍTICO,[17:50:10] ☀️ ALERTA: Baixa eficiência solar
2026-06-01 17:50:10,13.3,5,17.5,70,45.1,CRÍTICO,[17:50:10] 📡 ALERTA: Comunicação instável
2026-06-01 17:50:10,13.3,5,17.5,70,33.8,CRÍTICO,[17:50:10] 🤖 DECISÃO: Modo Economia Ativado (Consumo reduzido)
2026-06-01 17:50:12,10,5,18.8,70,32.0,CRÍTICO,[17:50:12] 🔥 ALERTA CRÍTICO: Bateria em nível crítico!
2026-06-01 17:50:12,10,5,18.8,70,32.0,CRÍTICO,[17:50:12] ☀️ ALERTA: Baixa eficiência solar
